Date, Day_of_Week, Day_of_Year, Fraction_of_Year, JDN
2022-01-01, Sat,   1, 0.0000, 2459580.5
2022-01-02, Sun,   2, 0.0027, 2459581.5
2022-01-03, Mon,   3, 0.0055, 2459582.5
2022-01-04, Tue,   4, 0.0082, 2459583.5
2022-01-05, Wed,   5, 0.0110, 2459584.5
2022-01-06, Thu,   6, 0.0137, 2459585.5
2022-01-07, Fri,   7, 0.0164, 2459586.5
2022-01-08, Sat,   8, 0.0192, 2459587.5
2022-01-09, Sun,   9, 0.0219, 2459588.5
2022-01-10, Mon,  10, 0.0247, 2459589.5
2022-01-11, Tue,  11, 0.0274, 2459590.5
2022-01-12, Wed,  12, 0.0301, 2459591.5
2022-01-13, Thu,  13, 0.0329, 2459592.5
2022-01-14, Fri,  14, 0.0356, 2459593.5
2022-01-15, Sat,  15, 0.0384, 2459594.5
2022-01-16, Sun,  16, 0.0411, 2459595.5
2022-01-17, Mon,  17, 0.0438, 2459596.5
2022-01-18, Tue,  18, 0.0466, 2459597.5
2022-01-19, Wed,  19, 0.0493, 2459598.5
2022-01-20, Thu,  20, 0.0521, 2459599.5
2022-01-21, Fri,  21, 0.0548, 2459600.5
2022-01-22, Sat,  22, 0.0575, 2459601.5
2022-01-23, Sun,  23, 0.0603, 2459602.5
2022-01-24, Mon,  24, 0.0630, 2459603.5
2022-01-25, Tue,  25, 0.0658, 2459604.5
2022-01-26, Wed,  26, 0.0685, 2459605.5
2022-01-27, Thu,  27, 0.0712, 2459606.5
2022-01-28, Fri,  28, 0.0740, 2459607.5
2022-01-29, Sat,  29, 0.0767, 2459608.5
2022-01-30, Sun,  30, 0.0795, 2459609.5
2022-01-31, Mon,  31, 0.0822, 2459610.5
2022-02-01, Tue,  32, 0.0849, 2459611.5
2022-02-02, Wed,  33, 0.0877, 2459612.5
2022-02-03, Thu,  34, 0.0904, 2459613.5
2022-02-04, Fri,  35, 0.0932, 2459614.5
2022-02-05, Sat,  36, 0.0959, 2459615.5
2022-02-06, Sun,  37, 0.0986, 2459616.5
2022-02-07, Mon,  38, 0.1014, 2459617.5
2022-02-08, Tue,  39, 0.1041, 2459618.5
2022-02-09, Wed,  40, 0.1068, 2459619.5
2022-02-10, Thu,  41, 0.1096, 2459620.5
2022-02-11, Fri,  42, 0.1123, 2459621.5
2022-02-12, Sat,  43, 0.1151, 2459622.5
2022-02-13, Sun,  44, 0.1178, 2459623.5
2022-02-14, Mon,  45, 0.1205, 2459624.5
2022-02-15, Tue,  46, 0.1233, 2459625.5
2022-02-16, Wed,  47, 0.1260, 2459626.5
2022-02-17, Thu,  48, 0.1288, 2459627.5
2022-02-18, Fri,  49, 0.1315, 2459628.5
2022-02-19, Sat,  50, 0.1342, 2459629.5
2022-02-20, Sun,  51, 0.1370, 2459630.5
2022-02-21, Mon,  52, 0.1397, 2459631.5
2022-02-22, Tue,  53, 0.1425, 2459632.5
2022-02-23, Wed,  54, 0.1452, 2459633.5
2022-02-24, Thu,  55, 0.1479, 2459634.5
2022-02-25, Fri,  56, 0.1507, 2459635.5
2022-02-26, Sat,  57, 0.1534, 2459636.5
2022-02-27, Sun,  58, 0.1562, 2459637.5
2022-02-28, Mon,  59, 0.1589, 2459638.5
2022-03-01, Tue,  60, 0.1616, 2459639.5
2022-03-02, Wed,  61, 0.1644, 2459640.5
2022-03-03, Thu,  62, 0.1671, 2459641.5
2022-03-04, Fri,  63, 0.1699, 2459642.5
2022-03-05, Sat,  64, 0.1726, 2459643.5
2022-03-06, Sun,  65, 0.1753, 2459644.5
2022-03-07, Mon,  66, 0.1781, 2459645.5
2022-03-08, Tue,  67, 0.1808, 2459646.5
2022-03-09, Wed,  68, 0.1836, 2459647.5
2022-03-10, Thu,  69, 0.1863, 2459648.5
2022-03-11, Fri,  70, 0.1890, 2459649.5
2022-03-12, Sat,  71, 0.1918, 2459650.5
2022-03-13, Sun,  72, 0.1945, 2459651.5
2022-03-14, Mon,  73, 0.1973, 2459652.5
2022-03-15, Tue,  74, 0.2000, 2459653.5
2022-03-16, Wed,  75, 0.2027, 2459654.5
2022-03-17, Thu,  76, 0.2055, 2459655.5
2022-03-18, Fri,  77, 0.2082, 2459656.5
2022-03-19, Sat,  78, 0.2110, 2459657.5
2022-03-20, Sun,  79, 0.2137, 2459658.5
2022-03-21, Mon,  80, 0.2164, 2459659.5
2022-03-22, Tue,  81, 0.2192, 2459660.5
2022-03-23, Wed,  82, 0.2219, 2459661.5
2022-03-24, Thu,  83, 0.2247, 2459662.5
2022-03-25, Fri,  84, 0.2274, 2459663.5
2022-03-26, Sat,  85, 0.2301, 2459664.5
2022-03-27, Sun,  86, 0.2329, 2459665.5
2022-03-28, Mon,  87, 0.2356, 2459666.5
2022-03-29, Tue,  88, 0.2384, 2459667.5
2022-03-30, Wed,  89, 0.2411, 2459668.5
2022-03-31, Thu,  90, 0.2438, 2459669.5
2022-04-01, Fri,  91, 0.2466, 2459670.5
2022-04-02, Sat,  92, 0.2493, 2459671.5
2022-04-03, Sun,  93, 0.2521, 2459672.5
2022-04-04, Mon,  94, 0.2548, 2459673.5
2022-04-05, Tue,  95, 0.2575, 2459674.5
2022-04-06, Wed,  96, 0.2603, 2459675.5
2022-04-07, Thu,  97, 0.2630, 2459676.5
2022-04-08, Fri,  98, 0.2658, 2459677.5
2022-04-09, Sat,  99, 0.2685, 2459678.5
2022-04-10, Sun, 100, 0.2712, 2459679.5
2022-04-11, Mon, 101, 0.2740, 2459680.5
2022-04-12, Tue, 102, 0.2767, 2459681.5
2022-04-13, Wed, 103, 0.2795, 2459682.5
2022-04-14, Thu, 104, 0.2822, 2459683.5
2022-04-15, Fri, 105, 0.2849, 2459684.5
2022-04-16, Sat, 106, 0.2877, 2459685.5
2022-04-17, Sun, 107, 0.2904, 2459686.5
2022-04-18, Mon, 108, 0.2932, 2459687.5
2022-04-19, Tue, 109, 0.2959, 2459688.5
2022-04-20, Wed, 110, 0.2986, 2459689.5
2022-04-21, Thu, 111, 0.3014, 2459690.5
2022-04-22, Fri, 112, 0.3041, 2459691.5
2022-04-23, Sat, 113, 0.3068, 2459692.5
2022-04-24, Sun, 114, 0.3096, 2459693.5
2022-04-25, Mon, 115, 0.3123, 2459694.5
2022-04-26, Tue, 116, 0.3151, 2459695.5
2022-04-27, Wed, 117, 0.3178, 2459696.5
2022-04-28, Thu, 118, 0.3205, 2459697.5
2022-04-29, Fri, 119, 0.3233, 2459698.5
2022-04-30, Sat, 120, 0.3260, 2459699.5
2022-05-01, Sun, 121, 0.3288, 2459700.5
2022-05-02, Mon, 122, 0.3315, 2459701.5
2022-05-03, Tue, 123, 0.3342, 2459702.5
2022-05-04, Wed, 124, 0.3370, 2459703.5
2022-05-05, Thu, 125, 0.3397, 2459704.5
2022-05-06, Fri, 126, 0.3425, 2459705.5
2022-05-07, Sat, 127, 0.3452, 2459706.5
2022-05-08, Sun, 128, 0.3479, 2459707.5
2022-05-09, Mon, 129, 0.3507, 2459708.5
2022-05-10, Tue, 130, 0.3534, 2459709.5
2022-05-11, Wed, 131, 0.3562, 2459710.5
2022-05-12, Thu, 132, 0.3589, 2459711.5
2022-05-13, Fri, 133, 0.3616, 2459712.5
2022-05-14, Sat, 134, 0.3644, 2459713.5
2022-05-15, Sun, 135, 0.3671, 2459714.5
2022-05-16, Mon, 136, 0.3699, 2459715.5
2022-05-17, Tue, 137, 0.3726, 2459716.5
2022-05-18, Wed, 138, 0.3753, 2459717.5
2022-05-19, Thu, 139, 0.3781, 2459718.5
2022-05-20, Fri, 140, 0.3808, 2459719.5
2022-05-21, Sat, 141, 0.3836, 2459720.5
2022-05-22, Sun, 142, 0.3863, 2459721.5
2022-05-23, Mon, 143, 0.3890, 2459722.5
2022-05-24, Tue, 144, 0.3918, 2459723.5
2022-05-25, Wed, 145, 0.3945, 2459724.5
2022-05-26, Thu, 146, 0.3973, 2459725.5
2022-05-27, Fri, 147, 0.4000, 2459726.5
2022-05-28, Sat, 148, 0.4027, 2459727.5
2022-05-29, Sun, 149, 0.4055, 2459728.5
2022-05-30, Mon, 150, 0.4082, 2459729.5
2022-05-31, Tue, 151, 0.4110, 2459730.5
2022-06-01, Wed, 152, 0.4137, 2459731.5
