Date, Rise, Transit, Set, RA_Transit, Dec_Transit, NPD_08h, Hrly_Var, NPD_14h, Hrly_Var, EOT_12h, GST_00h_UT
2022-01-01, 06:21:36, 12:00:03, 17:38:34, 18 46 35, -23 00 16, 113 01 05, -12.23, 112 59 51, -12.51, -03 24.4, 06 42 31.2
2022-01-02, 06:21:58, 12:00:31, 17:39:08, 18 50 59, -22 55 08, 112 56 01, -13.37, 112 54 41, -13.66, -03 52.6, 06 46 27.7
2022-01-03, 06:22:19, 12:00:59, 17:39:43, 18 55 24, -22 49 32, 112 50 30, -14.51, 112 49 03, -14.79, -04 20.4, 06 50 24.3
2022-01-04, 06:22:40, 12:01:27, 17:40:17, 18 59 48, -22 43 29, 112 44 31, -15.64, 112 42 57, -15.92, -04 47.8, 06 54 20.8
2022-01-05, 06:22:59, 12:01:54, 17:40:52, 19 04 11, -22 36 59, 112 38 06, -16.76, 112 36 25, -17.04, -05 14.9, 06 58 17.4
2022-01-06, 06:23:18, 12:02:20, 17:41:27, 19 08 34, -22 30 02, 112 31 13, -17.88, 112 29 26, -18.16, -05 41.5, 07 02 13.9
2022-01-07, 06:23:35, 12:02:47, 17:42:02, 19 12 57, -22 22 39, 112 23 54, -18.99, 112 22 00, -19.26, -06 07.7, 07 06 10.5
2022-01-08, 06:23:52, 12:03:12, 17:42:37, 19 17 19, -22 14 49, 112 16 09, -20.08, 112 14 08, -20.36, -06 33.3, 07 10 07.0
2022-01-09, 06:24:07, 12:03:37, 17:43:12, 19 21 41, -22 06 32, 112 07 57, -21.17, 112 05 50, -21.44, -06 58.5, 07 14 03.6
2022-01-10, 06:24:22, 12:04:02, 17:43:47, 19 26 02, -21 57 50, 111 59 19, -22.25, 111 57 06, -22.52, -07 23.1, 07 18 00.2
2022-01-11, 06:24:35, 12:04:26, 17:44:22, 19 30 23, -21 48 42, 111 50 16, -23.32, 111 47 56, -23.58, -07 47.2, 07 21 56.7
2022-01-12, 06:24:48, 12:04:50, 17:44:57, 19 34 43, -21 39 09, 111 40 46, -24.37, 111 38 20, -24.63, -08 10.6, 07 25 53.3
2022-01-13, 06:24:59, 12:05:12, 17:45:32, 19 39 02, -21 29 11, 111 30 52, -25.41, 111 28 20, -25.67, -08 33.5, 07 29 49.8
2022-01-14, 06:25:09, 12:05:35, 17:46:06, 19 43 21, -21 18 47, 111 20 33, -26.45, 111 17 54, -26.70, -08 55.7, 07 33 46.4
2022-01-15, 06:25:19, 12:05:56, 17:46:40, 19 47 39, -21 07 59, 111 09 49, -27.47, 111 07 04, -27.72, -09 17.3, 07 37 42.9
2022-01-16, 06:25:27, 12:06:17, 17:47:14, 19 51 57, -20 56 47, 110 58 41, -28.47, 110 55 50, -28.72, -09 38.2, 07 41 39.5
2022-01-17, 06:25:33, 12:06:37, 17:47:48, 19 56 13, -20 45 11, 110 47 08, -29.47, 110 44 12, -29.71, -09 58.4, 07 45 36.0
2022-01-18, 06:25:39, 12:06:57, 17:48:22, 20 00 30, -20 33 11, 110 35 12, -30.45, 110 32 10, -30.69, -10 17.9, 07 49 32.6
2022-01-19, 06:25:44, 12:07:16, 17:48:55, 20 04 45, -20 20 47, 110 22 53, -31.41, 110 19 44, -31.65, -10 36.7, 07 53 29.2
2022-01-20, 06:25:47, 12:07:34, 17:49:28, 20 09 00, -20 08 01, 110 10 10, -32.36, 110 06 56, -32.60, -10 54.8, 07 57 25.7
2022-01-21, 06:25:50, 12:07:51, 17:50:00, 20 13 13, -19 54 52, 109 57 05, -33.30, 109 53 45, -33.53, -11 12.1, 08 01 22.3
2022-01-22, 06:25:51, 12:08:08, 17:50:32, 20 17 27, -19 41 21, 109 43 38, -34.22, 109 40 12, -34.45, -11 28.7, 08 05 18.8
2022-01-23, 06:25:51, 12:08:23, 17:51:04, 20 21 39, -19 27 28, 109 29 48, -35.13, 109 26 17, -35.36, -11 44.5, 08 09 15.4
2022-01-24, 06:25:50, 12:08:38, 17:51:35, 20 25 50, -19 13 13, 109 15 37, -36.02, 109 12 01, -36.24, -11 59.5, 08 13 11.9
2022-01-25, 06:25:48, 12:08:53, 17:52:06, 20 30 01, -18 58 37, 109 01 04, -36.90, 108 57 23, -37.12, -12 13.7, 08 17 08.5
2022-01-26, 06:25:44, 12:09:06, 17:52:37, 20 34 11, -18 43 40, 108 46 11, -37.76, 108 42 24, -37.97, -12 27.2, 08 21 05.0
2022-01-27, 06:25:40, 12:09:19, 17:53:07, 20 38 20, -18 28 23, 108 30 57, -38.61, 108 27 05, -38.81, -12 39.8, 08 25 01.6
2022-01-28, 06:25:34, 12:09:31, 17:53:36, 20 42 29, -18 12 45, 108 15 23, -39.44, 108 11 26, -39.64, -12 51.7, 08 28 58.2
2022-01-29, 06:25:27, 12:09:42, 17:54:05, 20 46 36, -17 56 48, 107 59 29, -40.25, 107 55 28, -40.45, -13 02.7, 08 32 54.7
2022-01-30, 06:25:19, 12:09:52, 17:54:34, 20 50 43, -17 40 32, 107 43 16, -41.04, 107 39 10, -41.24, -13 12.9, 08 36 51.3
2022-01-31, 06:25:10, 12:10:01, 17:55:02, 20 54 49, -17 23 57, 107 26 44, -41.82, 107 22 33, -42.02, -13 22.3, 08 40 47.8
2022-02-01, 06:25:00, 12:10:10, 17:55:29, 20 58 54, -17 07 03, 107 09 53, -42.59, 107 05 38, -42.77, -13 30.9, 08 44 44.4
2022-02-02, 06:24:49, 12:10:18, 17:55:56, 21 02 59, -16 49 51, 106 52 44, -43.33, 106 48 24, -43.52, -13 38.6, 08 48 40.9
2022-02-03, 06:24:36, 12:10:24, 17:56:22, 21 07 02, -16 32 22, 106 35 18, -44.06, 106 30 53, -44.24, -13 45.6, 08 52 37.5
2022-02-04, 06:24:23, 12:10:31, 17:56:48, 21 11 05, -16 14 35, 106 17 34, -44.77, 106 13 05, -44.95, -13 51.7, 08 56 34.0
